id,IdDataset,NombreConjuntoDatos,UrlConexionAPI
69,3F3687,Datos soporte del proceso de liquidación por versión y horaria,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=3F3687
70,f2081a,Datos soporte del proceso de liquidación por versión y mensual,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=f2081a
71,77b26e,Datos soporte del proceso de liquidación por versión y mensual,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=77b26e
72,760616,Déficit Energético Largo Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=760616
73,f63b8b,Déficit Energético Mediano Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=f63b8b
74,682a0b,Demanda Energético Largo Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=682a0b
75,596c1c,Demanda Energético Mediano Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=596c1c
76,ff027b,Despacho programado recursos de generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=ff027b
77,64eb3f,Disponibilidad Real de las Unidades de Generación del Sistema,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=64eb3f
78,8b732d,Duración promedio de los contratos entre agentes,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=8b732d
79,860bc8,Duración promedio de los contratos producto de convocatorias del SICEP para el mercado regulado,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=860bc8
80,d808d4,Energía de Referencia para el Mercado Secundario,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=d808d4
81,b38efc,Energía Firme del Cargo por Confiabilidad verificada por el Centro Nacional de Despacho,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=b38efc
82,305a36,Energía promedio de los contratos de convocatorias del SICEP con destino al mercado regulado del Sistema Interconectado Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=305a36
83,1e543e,Energía promedio de los contratos del SICEP para el mercado regulado por comercializador,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=1e543e
84,086d86,Energía promedio de los contratos entre agentes del Sistema Interconectado Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=086d86
85,06bb49,Energía promedio mensual de contratos con UNR para el total del SIN,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=06bb49
86,b73e3c,Energía promedio mensual de contratos con UNR por mercado de comercialización,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=b73e3c
87,710e77,Estadísticas anuales de las convocatorias del SICEP para el mercado regulado,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=710e77
88,F3A83B,Estadísticas de contratos de Demanda Desconectable Voluntaria (DDV),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=F3A83B
89,8DECCA,Estadísticas de contratos del mercado secundario,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=8DECCA
90,7DACE2,Estadísticas de Horas de indisponibilidad de las líneas de transmisión nacional y regional del SIN,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7DACE2
91,6f94cf,Estadísticas de los pronósticos de energía horaria y demanda de energía atendida horaria por periodo y por mercado de comercialización,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=6f94cf
92,7E4EE4,Estadísticas de monto de indisponibilidad de las líneas de transmisión nacional y regional del SIN,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7E4EE4
93,68a95b,Estadísticas de precios de los contratos adjudicados en subastas del Ministerio (MME),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=68a95b
94,da2c83,Estadísticas de precios por comercializador de los contratos adjudicados en subastas del Ministerio (MME),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=da2c83
95,6827d9,Estadísticas del Costo Unitario de Reconciliación Positiva,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=6827d9
96,40d2d3,Estadísticas horarias de precios de los contratos adjudicados en subastas del Ministerio (MME),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=40d2d3
97,705468,Estadísticas horarias de precios por comercializador de los contratos adjudicados en subastas del Ministerio (MME),https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=705468
98,fe1a54,Estudio Esquema de Desconexión Automático de Carga EDAC,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=fe1a54
99,860c86,Estudio Interconexión Colombia Ecuador,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=860c86
100,3C77AF,Eventos de Demanda No Atendida,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=3C77AF
101,a859bf,Eventos de Frecuencia,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=a859bf
102,a3db98,Eventos de Tensión fuera de Rango,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=a3db98
103,7a07ac,Eventos en unidades de Generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7a07ac
104,2cf281,Evolución histórica anual de las estadísticas generales de las convocatorias SICEP con destino al mercado regulado,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=2cf281
105,1c91c4,Fecha de retiro de unidades de generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=1c91c4
106,8d7548,Garantía de reserva de capacidad de transporte,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=8d7548
